id,name,lat,lon,all_sz
0403290,Ganado Unified School District,35.654,-109.641,110.0
0403310,Gila Bend Unified District,32.703,-112.709,30.0
0403400,Gilbert Unified District,33.351,-111.771,3341.0
0403420,Glendale Elementary District,33.531,-112.216,1472.0
0403500,Globe Unified District,33.551,-110.796,153.0
0403550,Grand Canyon Unified District,35.983,-112.218,22.0
0403660,Hackberry School District,35.662,-113.669,4.0
0403730,Hayden-Winkelman Unified District,33.181,-110.822,24.0
0403780,Higley Unified School District,33.292,-111.704,939.0
0403820,Holbrook Unified District,35.421,-110.026,143.0
0403860,Maricopa County Regional District,,,8.0
0403870,Humboldt Unified District,34.579,-112.22,573.0
0403900,Hyder Elementary District,32.947,-113.498,13.0
0403950,Baboquivari Unified School District #40,32.094,-112.108,75.0
0403960,Isaac Elementary District,33.466,-112.146,761.0
0403990,J O Combs Unified School District,33.249,-111.479,442.0
0404010,Joseph City Unified District,35.052,-110.324,36.0
0404060,Kayenta Unified School District # 27,36.648,-110.351,137.0
0404170,Kirkland Elementary District,34.406,-112.588,7.0
0404230,Kyrene Elementary District,33.284,-112.002,2273.0
0404280,Lake Havasu Unified District,34.529,-114.287,488.0
0404290,Laveen Elementary District,33.368,-112.167,743.0
0404320,Liberty Elementary District,33.249,-112.409,439.0
0404380,Litchfield Elementary District,33.508,-112.417,1321.0
0404410,Littlefield Unified District,36.395,-113.671,38.0
0404440,Littleton Elementary District,33.412,-112.307,646.0
0404500,Madison Elementary District,33.525,-112.042,724.0
0404530,Maine Consolidated School District,35.218,-111.987,12.0
0404570,Mammoth-San Manuel Unified District,32.652,-110.551,67.0
0404630,Marana Unified District,32.36,-111.332,1034.0
0404720,Maricopa Unified School District,33.042,-112.125,643.0
0404770,Altar Valley Elementary District,31.907,-111.354,74.0
0404820,Mayer Unified School District,34.194,-111.922,39.0
0404860,Mcnary Elementary District,34.053,-109.702,13.0
0404920,Mcneal Elementary District,31.586,-109.601,6.0
0404970,Mesa Unified District,33.454,-111.656,5608.0
0405030,Miami Unified District,33.584,-110.993,92.0
0405100,Mobile Elementary District,33.03,-112.291,3.0
0405190,Mohave Valley Elementary District,34.926,-114.364,221.0
0405220,Mohawk Valley Elementary District,33.175,-113.86,18.0
0405320,Morenci Unified District,33.108,-109.413,98.0
0405340,Morristown Elementary District,33.87,-112.62,16.0
0405360,Pima Accommodation District,,,4.0
0405400,Murphy Elementary District,33.43,-112.123,217.0
0405430,Naco Elementary District,31.357,-109.961,33.0
0405460,Nadaburg Unified School District,33.791,-112.47,93.0
0405530,Nogales Unified District,31.456,-111.229,456.0
0405640,Oracle Elementary District,32.623,-110.855,56.0
0405670,Osborn Elementary District,33.494,-112.079,409.0
0405730,Owens School District No.6,34.916,-113.569,3.0
0405760,Tonto Basin Elementary District,33.848,-111.236,7.0
0405820,Page Unified District,36.781,-111.041,201.0
0405850,Palo Verde Elementary District,33.408,-112.69,51.0
0405880,Palominas Elementary District,31.423,-110.13,120.0
0405930,Paradise Valley Unified District,33.662,-111.975,2710.0
0405980,Parker Unified School District,33.908,-114.406,145.0
0406000,Patagonia Elementary District,31.451,-110.662,12.0
0406070,Payson Unified District,34.28,-111.245,185.0
0406120,Peach Springs Unified District,35.388,-113.425,18.0
0406150,Pearce Elementary District,31.869,-109.838,11.0
0406210,Pendergast Elementary District,33.508,-112.267,1151.0
0406250,Peoria Unified School District,33.827,-112.325,3036.0
0406300,Phoenix Elementary District,33.449,-112.073,1019.0
0406360,Picacho Elementary District,32.764,-111.447,21.0
0406440,Pima Unified District,32.837,-109.913,68.0
0406510,Pine Strawberry Elementary District,34.307,-111.556,14.0
0406580,Blue Ridge Unified School District No. 32,34.166,-109.91,174.0
0406630,Pomerene Elementary District,31.984,-110.184,14.0
0406730,Prescott Unified District,34.56,-112.444,442.0
0406740,Sanders Unified District,35.189,-109.467,68.0
0406780,Quartzsite Elementary District,33.299,-114.473,27.0
